1	[-0.00416713  0.01853909]	-0.0260037383736
2	[-0.00416713  0.01853909]	-0.0260037383736
3	[-0.00416713  0.01853909]	-0.0260037383736
4	[0.01129616 0.02703436]	-0.0524370600405
4	[0.00055427 0.01650706]	-0.0762509911271
4	[0.00201441 0.02098837]	-0.0933948304903
4	[0.00201441 0.02098837]	-0.0933948304903
5	[0.00280312 0.02589213]	-0.101908912652
5	[0.00280312 0.02589213]	-0.101908912652
6	[0.0066842  0.02982305]	-0.104988991341
6	[0.00427282 0.02882907]	-0.10511637266
6	[0.00427282 0.02882907]	-0.10511637266
7	[0.00427282 0.02882907]	-0.10511637266
8	[0.00412952 0.02616275]	-0.105308837172
8	[0.00412952 0.02616275]	-0.105308837172
9	[0.00612272 0.02999504]	-0.105826680853
9	[0.00593645 0.02851108]	-0.106110103295
9	[0.00471107 0.02766772]	-0.106479078764
9	[0.00471107 0.02766772]	-0.106479078764
10	[0.00521636 0.02868667]	-0.106653084802
10	[0.00521636 0.02868667]	-0.106653084802
11	[0.00521636 0.02868667]	-0.106653084802
12	[0.0050294  0.02809557]	-0.106663377056
12	[0.0050294  0.02809557]	-0.106663377056
13	[0.00508621 0.02842834]	-0.106666356589
13	[0.00508621 0.02842834]	-0.106666356589
14	[0.00521388 0.02833694]	-0.106692264667
14	[0.00521388 0.02833694]	-0.106692264667
15	[0.00521388 0.02833694]	-0.106692264667
16	[0.00521388 0.02833694]	-0.106692264667
17	[0.00523152 0.02840453]	-0.106692633019
17	[0.00523152 0.02840453]	-0.106692633019
18	[0.005209   0.02837176]	-0.106693002938
18	[0.005209   0.02837176]	-0.106693002938
19	[0.005209   0.02837176]	-0.106693002938
20	[0.005209   0.02837176]	-0.106693002938
21	[0.005209   0.02837176]	-0.106693002938
22	[0.005209   0.02837176]	-0.106693002938
23	[0.00521223 0.02837823]	-0.106693003192
