3,53E+12
5,26E+11
5,26E+11
5,26E+11
4,85E+11
2,88E+11
2,58E+11
2,58E+11
1,71E+11
34121102543,4
34121102543,4
1270680965,05
1270680965,05
1270680965,05
1270680965,05
1270680965,05
1270680965,05
619487602423
619487602423
535903190959
535903190959
53302424,5645
53302424,5645
46406501,2367
46406501,2367
3450358,53317
3450358,53317
3450358,53317
3450358,53317
3450358,53317
673016,764154
673016,764154
673016,764154
673016,764154
501432,09888
501432,09888
209223,989114
42474,4001506
42474,4001506
42474,4001506
42474,4001506
14439,5800706
14439,5800706
14439,5800706
10008,9723049
10008,9723049
10008,9723049
10008,9723049
10008,9723049
10008,9723049
9959,01014803
9959,01014803
9959,01014803
9955,80226266
9955,80226266
9952,31649691
9952,31649691
9931,80981206
9931,80981206
9931,80981206
9931,09616552
9931,09616552
9931,09616552
9930,76438862
9930,76438862
9930,76438862
9930,76438862
9930,76438862
9930,76241913
